,weather_grid,fips,county,state
23991,21604,19091,Humboldt,IA
24013,21605,19197,Wright,IA
24009,21606,19197,Wright,IA
24004,21607,19069,Franklin,IA
24029,21608,19069,Franklin,IA
24027,21609,19023,Butler,IA
24041,21610,19023,Butler,IA
24040,21611,19017,Bremer,IA
24056,21612,19017,Bremer,IA
24053,21613,19065,Fayette,IA
24068,21614,19065,Fayette,IA
24067,21615,19043,Clayton,IA
24084,21616,19043,Clayton,IA
24081,21617,55043,Grant,WI
24080,21618,55043,Grant,WI
24104,21619,55049,Iowa,WI
24101,21620,55049,Iowa,WI
24115,21621,55049,Iowa,WI
24113,21622,55025,Dane,WI
24130,21623,55025,Dane,WI
24126,21624,55025,Dane,WI
24147,21625,55055,Jefferson,WI
24144,21626,55055,Jefferson,WI
24140,21627,55133,Waukesha,WI
24166,21628,55133,Waukesha,WI
24164,21629,55079,Milwaukee,WI
24184,21636,26139,Ottawa,MI
24181,21637,26139,Ottawa,MI
24178,21638,26081,Kent,MI
24200,21639,26081,Kent,MI
24198,21640,26067,Ionia,MI
24215,21641,26067,Ionia,MI
24213,21642,26037,Clinton,MI
24229,21643,26037,Clinton,MI
24226,21644,26155,Shiawassee,MI
24243,21645,26049,Genesee,MI
24240,21646,26049,Genesee,MI
24239,21647,26125,Oakland,MI
24260,21648,26087,Lapeer,MI
24256,21649,26099,Macomb,MI
24270,21650,26147,St. Clair,MI
24268,21651,26147,St. Clair,MI
24275,21664,36029,Erie,NY
24284,21665,36029,Erie,NY
24283,21666,36029,Erie,NY
24281,21667,36037,Genesee,NY
24301,21668,36037,Genesee,NY
24297,21669,36051,Livingston,NY
24312,21670,36051,Livingston,NY
24311,21671,36069,Ontario,NY
24327,21672,36069,Ontario,NY
24324,21673,36099,Seneca,NY
24340,21674,36011,Cayuga,NY
24337,21675,36067,Onondaga,NY
24358,21676,36067,Onondaga,NY
24356,21677,36053,Madison,NY
24354,21678,36053,Madison,NY
24377,21679,36053,Madison,NY
24373,21680,36077,Otsego,NY
24389,21681,36043,Herkimer,NY
24386,21682,36057,Montgomery,NY
24405,21683,36057,Montgomery,NY
24401,21684,36093,Schenectady,NY
24425,21685,36091,Saratoga,NY
24423,21686,36083,Rensselaer,NY
24419,21687,36083,Rensselaer,NY
24446,21688,50003,Bennington,VT
24443,21689,50025,Windham,VT
24462,21690,50025,Windham,VT
24459,21691,33005,Cheshire,NH
24475,21692,33005,Cheshire,NH
24474,21693,33011,Hillsborough,NH
24485,21694,33011,Hillsborough,NH
24483,21695,33015,Rockingham,NH
24498,21696,33015,Rockingham,NH
24496,21697,33015,Rockingham,NH
24495,21698,23031,York,ME
25155,21719,41011,Coos,OR
2949,21720,41011,Coos,OR
25152,21721,41011,Coos,OR
2947,21722,41019,Douglas,OR
25150,21723,41019,Douglas,OR
2946,21724,41019,Douglas,OR
25144,21725,41019,Douglas,OR
2945,21726,41019,Douglas,OR
25140,21727,41019,Douglas,OR
25134,21728,41019,Douglas,OR
2944,21729,41035,Klamath,OR
25128,21730,41035,Klamath,OR
2941,21731,41035,Klamath,OR
25124,21732,41037,Lake,OR
2940,21733,41037,Lake,OR
25123,21734,41037,Lake,OR
2939,21735,41037,Lake,OR
25119,21736,41037,Lake,OR
25116,21737,41025,Harney,OR
2938,21738,41025,Harney,OR
25111,21739,41025,Harney,OR
2937,21740,41025,Harney,OR
25108,21741,41025,Harney,OR
2936,21742,41025,Harney,OR
25107,21743,41025,Harney,OR
2934,21744,41045,Malheur,OR
25103,21745,41045,Malheur,OR
2933,21746,41045,Malheur,OR
25099,21747,41045,Malheur,OR
25095,21748,41045,Malheur,OR
2932,21749,16073,Owyhee,ID
25090,21750,16073,Owyhee,ID
2930,21751,16073,Owyhee,ID
25083,21752,16001,Ada,ID
2926,21753,16039,Elmore,ID
25080,21754,16039,Elmore,ID
2925,21755,16039,Elmore,ID
25074,21756,16039,Elmore,ID
25069,21757,16047,Gooding,ID
2923,21758,16047,Gooding,ID
25064,21759,16063,Lincoln,ID
2921,21760,16063,Lincoln,ID
25058,21761,16063,Lincoln,ID
2919,21762,16067,Minidoka,ID
25055,21763,16013,Blaine,ID
2915,21764,16013,Blaine,ID
25049,21765,16011,Bingham,ID
2913,21766,16011,Bingham,ID
25043,21767,16011,Bingham,ID
25037,21768,16011,Bingham,ID
2911,21769,16011,Bingham,ID
25029,21770,16011,Bingham,ID
2909,21771,16019,Bonneville,ID
25024,21772,16019,Bonneville,ID
