weather_grid (Trip)	stationID (Meridith)	lat	lon
576	9603	30.125	-85.375
715	10025	30.625	-97.875
730	10040	30.625	-94.125
714	10024	30.625	-98.125
731	10041	30.625	-93.875
713	10023	30.625	-98.375
732	10042	30.625	-93.625
712	10022	30.625	-98.625
733	10043	30.625	-93.375
596	9765	30.375	-103.875
659	9828	30.375	-88.125
505	9377	29.875	-82.875
711	10021	30.625	-98.875
734	10044	30.625	-93.125
577	9604	30.125	-85.125
710	10020	30.625	-99.125
735	10045	30.625	-92.875
595	9764	30.375	-104.125
660	9829	30.375	-87.875
709	10019	30.625	-99.375
736	10046	30.625	-92.625
708	10018	30.625	-99.625
737	10047	30.625	-92.375
578	9605	30.125	-84.875
506	9378	29.875	-82.625
707	10017	30.625	-99.875
738	10048	30.625	-92.125
594	9763	30.375	-104.375
661	9830	30.375	-87.625
706	10016	30.625	-100.125
739	10049	30.625	-91.875
705	10015	30.625	-100.375
740	10050	30.625	-91.625
593	9762	30.375	-104.625
662	9831	30.375	-87.375
579	9606	30.125	-84.625
704	10014	30.625	-100.625
741	10051	30.625	-91.375
507	9379	29.875	-82.375
703	10013	30.625	-100.875
742	10052	30.625	-91.125
663	9832	30.375	-87.125
580	9607	30.125	-84.375
702	10012	30.625	-101.125
743	10053	30.625	-90.875
664	9833	30.375	-86.875
508	9380	29.875	-82.125
701	10011	30.625	-101.375
744	10054	30.625	-90.625
581	9608	30.125	-84.125
700	10010	30.625	-101.625
745	10055	30.625	-90.375
665	9834	30.375	-86.625
699	10009	30.625	-101.875
746	10056	30.625	-90.125
509	9381	29.875	-81.875
582	9609	30.125	-83.875
698	10008	30.625	-102.125
747	10057	30.625	-89.875
666	9835	30.375	-86.375
697	10007	30.625	-102.375
748	10058	30.625	-89.625
667	9836	30.375	-86.125
510	9382	29.875	-81.625
583	9610	30.125	-83.625
696	10006	30.625	-102.625
749	10059	30.625	-89.375
695	10005	30.625	-102.875
750	10060	30.625	-89.125
668	9837	30.375	-85.875
584	9611	30.125	-83.375
511	9383	29.875	-81.375
694	10004	30.625	-103.125
751	10061	30.625	-88.875
669	9838	30.375	-85.625
693	10003	30.625	-103.375
752	10062	30.625	-88.625
819	10268	30.875	-96.125
820	10269	30.875	-95.875
818	10267	30.875	-96.375
821	10270	30.875	-95.625
817	10266	30.875	-96.625
822	10271	30.875	-95.375
816	10265	30.875	-96.875
823	10272	30.875	-95.125
585	9612	30.125	-83.125
815	10264	30.875	-97.125
824	10273	30.875	-94.875
814	10263	30.875	-97.375
825	10274	30.875	-94.625
813	10262	30.875	-97.625
826	10275	30.875	-94.375
670	9839	30.375	-85.375
692	10002	30.625	-103.625
753	10063	30.625	-88.375
812	10261	30.875	-97.875
827	10276	30.875	-94.125
811	10260	30.875	-98.125
828	10277	30.875	-93.875
810	10259	30.875	-98.375
829	10278	30.875	-93.625
691	10001	30.625	-103.875
754	10064	30.625	-88.125
809	10258	30.875	-98.625
830	10279	30.875	-93.375
586	9613	30.125	-82.875
671	9840	30.375	-85.125
808	10257	30.875	-98.875
831	10280	30.875	-93.125
807	10256	30.875	-99.125
832	10281	30.875	-92.875
690	10000	30.625	-104.125
755	10065	30.625	-87.875
806	10255	30.875	-99.375
833	10282	30.875	-92.625
805	10254	30.875	-99.625
834	10283	30.875	-92.375
672	9841	30.375	-84.875
587	9614	30.125	-82.625
689	9999	30.625	-104.375
756	10066	30.625	-87.625
804	10253	30.875	-99.875
835	10284	30.875	-92.125
803	10252	30.875	-100.125
836	10285	30.875	-91.875
802	10251	30.875	-100.375
837	10286	30.875	-91.625
688	9998	30.625	-104.625
757	10067	30.625	-87.375
673	9842	30.375	-84.625
588	9615	30.125	-82.375
801	10250	30.875	-100.625
838	10287	30.875	-91.375
687	9997	30.625	-104.875
758	10068	30.625	-87.125
800	10249	30.875	-100.875
839	10288	30.875	-91.125
674	9843	30.375	-84.375
799	10248	30.875	-101.125
840	10289	30.875	-90.875
589	9616	30.125	-82.125
759	10069	30.625	-86.875
798	10247	30.875	-101.375
841	10290	30.875	-90.625
675	9844	30.375	-84.125
797	10246	30.875	-101.625
842	10291	30.875	-90.375
760	10070	30.625	-86.625
796	10245	30.875	-101.875
843	10292	30.875	-90.125
590	9617	30.125	-81.875
676	9845	30.375	-83.875
761	10071	30.625	-86.375
795	10244	30.875	-102.125
844	10293	30.875	-89.875
794	10243	30.875	-102.375
845	10294	30.875	-89.625
591	9618	30.125	-81.625
762	10072	30.625	-86.125
677	9846	30.375	-83.625
793	10242	30.875	-102.625
846	10295	30.875	-89.375
792	10241	30.875	-102.875
847	10296	30.875	-89.125
763	10073	30.625	-85.875
592	9619	30.125	-81.375
678	9847	30.375	-83.375
791	10240	30.875	-103.125
848	10297	30.875	-88.875
764	10074	30.625	-85.625
790	10239	30.875	-103.375
849	10298	30.875	-88.625
917	10504	31.125	-96.125
918	10505	31.125	-95.875
916	10503	31.125	-96.375
919	10506	31.125	-95.625
679	9848	30.375	-83.125
915	10502	31.125	-96.625
920	10507	31.125	-95.375
914	10501	31.125	-96.875
921	10508	31.125	-95.125
913	10500	31.125	-97.125
922	10509	31.125	-94.875
912	10499	31.125	-97.375
923	10510	31.125	-94.625
765	10075	30.625	-85.375
911	10498	31.125	-97.625
924	10511	31.125	-94.375
789	10238	30.875	-103.625
850	10299	30.875	-88.375
910	10497	31.125	-97.875
925	10512	31.125	-94.125
909	10496	31.125	-98.125
926	10513	31.125	-93.875
908	10495	31.125	-98.375
927	10514	31.125	-93.625
788	10237	30.875	-103.875
851	10300	30.875	-88.125
907	10494	31.125	-98.625
928	10515	31.125	-93.375
680	9849	30.375	-82.875
766	10076	30.625	-85.125
906	10493	31.125	-98.875
929	10516	31.125	-93.125
905	10492	31.125	-99.125
930	10517	31.125	-92.875
787	10236	30.875	-104.125
852	10301	30.875	-87.875
904	10491	31.125	-99.375
931	10518	31.125	-92.625
903	10490	31.125	-99.625
932	10519	31.125	-92.375
767	10077	30.625	-84.875
681	9850	30.375	-82.625
786	10235	30.875	-104.375
853	10302	30.875	-87.625
902	10489	31.125	-99.875
933	10520	31.125	-92.125
901	10488	31.125	-100.125
934	10521	31.125	-91.875
768	10078	30.625	-84.625
785	10234	30.875	-104.625
854	10303	30.875	-87.375
900	10487	31.125	-100.375
935	10522	31.125	-91.625
682	9851	30.375	-82.375
899	10486	31.125	-100.625
936	10523	31.125	-91.375
784	10233	30.875	-104.875
855	10304	30.875	-87.125
898	10485	31.125	-100.875
937	10524	31.125	-91.125
769	10079	30.625	-84.375
897	10484	31.125	-101.125
938	10525	31.125	-90.875
683	9852	30.375	-82.125
783	10232	30.875	-105.125
856	10305	30.875	-86.875
896	10483	31.125	-101.375
939	10526	31.125	-90.625
770	10080	30.625	-84.125
895	10482	31.125	-101.625
940	10527	31.125	-90.375
782	10231	30.875	-105.375
857	10306	30.875	-86.625
684	9853	30.375	-81.875
894	10481	31.125	-101.875
941	10528	31.125	-90.125
771	10081	30.625	-83.875
858	10307	30.875	-86.375
893	10480	31.125	-102.125
942	10529	31.125	-89.875
892	10479	31.125	-102.375
943	10530	31.125	-89.625
685	9854	30.375	-81.625
859	10308	30.875	-86.125
772	10082	30.625	-83.625
891	10478	31.125	-102.625
944	10531	31.125	-89.375
860	10309	30.875	-85.875
890	10477	31.125	-102.875
945	10532	31.125	-89.125
686	9855	30.375	-81.375
773	10083	30.625	-83.375
889	10476	31.125	-103.125
946	10533	31.125	-88.875
861	10310	30.875	-85.625
888	10475	31.125	-103.375
947	10534	31.125	-88.625
774	10084	30.625	-83.125
1028	10740	31.375	-96.125
1029	10741	31.375	-95.875
1027	10739	31.375	-96.375
1030	10742	31.375	-95.625
1026	10738	31.375	-96.625
1031	10743	31.375	-95.375
1025	10737	31.375	-96.875
1032	10744	31.375	-95.125
1024	10736	31.375	-97.125
